store,budget_products,quantity 2019-W40,quantity 2019-W39,quantity 2018-W40,budget_diff,yoy
anjou,174.0,119,148,125.0,-31.60919540229885,-4.8
bayshore,100.0,71,97,73.0,-29.0,-2.73972602739726
chicoutimi,131.0,59,88,,-54.961832061068705,
COMP_ONT,1230.0,744,943,337.0,-39.51219512195122,120.77151335311574
COMP_QUE,1227.0,1292,1425,1059.0,5.29747351263244,22.00188857412653
COMP_TOTAL,2457.0,2037,2368,1396.0,-17.094017094017094,45.91690544412607
dix30,253.0,148,167,254.0,-41.50197628458498,-41.732283464566926
eatonto,232.0,168,205,161.0,-27.586206896551722,4.34782608695652
Fairview,95.0,78,108,81.0,-17.894736842105264,-3.7037037037037037
gatineau,179.0,53,88,,-70.39106145251397,
gcapitale,177.0,120,133,175.0,-32.20338983050848,-31.428571428571427
GMA,1192.0,908,1072,875.0,-23.825503355704697,3.77142857142857
GOA_ON,271.0,164,194,190.0,-39.48339483394834,-13.68421052631579
GOA_QC,179.0,53,88,,-70.39106145251397,
GQA,384.0,226,270,175.0,-41.145833333333336,29.14285714285714
Grand_Total,3965.0,3006,3561,2404.0,-24.186633039092055,25.04159733777038
GTA,1124.0,674,848,566.0,-40.0355871886121,19.08127208480565
guildford,87.0,45,30,,-48.275862068965516,
laval,250.0,209,223,240.0,-16.4,-12.916666666666666
limeridge,162.0,98,108,126.0,-39.50617283950617,-22.22222222222222
mapleview,83.0,63,68,,-24.096385542168676,
marketmall,114.0,99,143,,-13.157894736842104,
massonville,94.0,80,102,59.0,-14.893617021276595,35.59322033898305
mtltrust,203.0,170,192,164.0,-16.25615763546798,3.65853658536585
Ontario,1489.0,918,1144,815.0,-38.347884486232374,12.63803680981595
oshawa,87.0,72,82,44.0,-17.24137931034483,63.63636363636364
ottawa,171.0,93,97,117.0,-45.6140350877193,-20.512820512820515
pacificcentre,50.0,63,67,,26.0,
polopark,66.0,80,93,,21.21212121212121,
Quebec,2069.0,1756,2042,1589.0,-15.12808119864669,10.509754562618
REGIONAL_ON,94.0,80,102,59.0,-14.893617021276595,35.59322033898305
REGIONAL_QC,314.0,191,237,66.0,-39.17197452229299,189.39393939393938
rivieres,75.0,64,69,66.0,-14.666666666666666,-3.0303030303030303
scarborough,110.0,54,66,66.0,-50.90909090909091,-18.181818181818183
sherbrooke,108.0,68,80,,-37.03703703703704,
sherway,163.0,55,118,106.0,-66.25766871165644,-48.113207547169814
squareone,105.0,68,86,,-35.23809523809524,
stbruno,217.0,178,224,,-17.972350230414747,
stefoy,207.0,106,137,,-48.792270531400966,
uppercanada,111.0,53,68,63.0,-52.252252252252255,-15.873015873015873
vaughan,71.0,43,47,,-39.436619718309856,
West,407.0,332,375,,-18.42751842751843,
westedmonton,90.0,44,42,,-51.111111111111114,
