store,budget_sphw,sphw 2019-W40,sphw 2019-W39,sphw 2018-W40,budget_diff,yoy
marketmall,64.2570281124498,229.756061232933,108.540307735544,,257.557870293753,
GQA,150.6572504708098,299.215338345865,131.287170846395,,98.6066634103604,
ottawa,145.88888888888889,168.486064472801,91.8369539146822,,15.4893054269006,
westedmonton,34.48275862068966,149.429886302112,59.7412961971077,,333.346670276123,
gatineau,146.1137254901961,260.798731343284,146.485701006971,,78.4902345541676,
COMP_TOTAL,135.71862293304417,271.967671531274,138.707904997915,739.393397180412,100.390827473579,-63.2174600735698
vaughan,65.74883720930232,119.840497120339,55.2191905094208,,82.2701392251909,
polopark,84.41558441558442,189.799602385686,81.5532675915093,,124.839528979966,
GOA_QC,146.1137254901961,260.798731343284,146.485701006971,,78.4902345541676,
Grand_Total,120.49524977015017,261.118614624413,123.307941373907,1329.56474108321,116.704488452871,-80.3605942188512
sherbrooke,123.66483516483517,333.399163987138,87.7156568364611,,169.599004068331,
limeridge,130.9308943089431,221.355709992487,100.125877494838,,69.0630092773814,
pacificcentre,223.21428571428572,233.674063703185,62.5724774724663,,4.68598053902696,
Quebec,145.20236087689713,362.685059673099,164.803607588398,,149.779037670458,
bayshore,111.93854748603351,144.874452901998,119.455003270111,,29.4232024228061,
COMP_QUE,144.4066742081448,363.724785466114,175.449418200895,,151.875328796679,
stbruno,158.54929577464787,493.072430471584,212.16393442623,,210.989984573887,
Fairview,130.5921052631579,208.709320619786,118.085046454768,,59.8177165451254,
squareone,86.28099173553719,178.944813917639,73.5362593610769,,107.397724942858,
mtltrust,143.93174061433447,327.526411149826,129.44253179891,,127.556763888122,
laval,148.87106017191977,292.275565873476,143.68474137931,,96.3279938598878,
GOA_ON,131.17433414043583,158.716062992126,103.990061396777,,20.9962787554186,
oshawa,117.56756756756756,200.921954484605,108.353499327052,,70.8991336995491,
GMA,149.20529801324503,321.431898646303,157.239907914385,,115.429279607598,
REGIONAL_QC,126.32625482625483,321.029668874172,108.054394308182,,154.127433220993,
massonville,122.06535947712419,227.290465949821,136.86193245359,,86.2039049599624,
eatonto,135.5982404692082,198.860166648631,115.547078804348,70.51020891984,46.6539432669028,182.03031829718
anjou,156.48917748917748,221.376542810985,149.009888268156,,41.464442693678,
sherway,131.22672064777328,146.411386639676,113.912162759841,,11.5713216919137,
dix30,149.64488636363637,412.059178644764,189.801476444876,,175.358008320753,
gcapitale,144.98818897637796,259.870180878553,123.628337236534,,79.2354140797579,
rivieres,114.46715328467154,362.528360655738,106.876380090498,,216.70951032927,
stefoy,155.85559566787003,353.987194244604,139.006262785208,,127.125110733242,
guildford,47.752808988764045,163.878250401284,42.3466701972726,,243.180336134454,
uppercanada,107.3913043478261,201.129058441558,86.8122212505466,,87.2861677795888,
scarborough,132.60843373493975,240.16806181584,90.1048334214701,,81.110699411391,
GTA,113.29084471421345,182.883691659843,92.1921271524226,300.948288635353,61.4284826997135,-39.2308584012466
chicoutimi,136.9246231155779,281.221709401709,134.548564997186,,105.384322412435,
Ontario,116.7231616201337,181.83796111403,97.1227270296492,430.850526003852,55.7856714897834,-57.7955810335011
REGIONAL_ON,122.06535947712419,227.290465949821,136.86193245359,,86.2039049599624,
mapleview,99.73333333333333,125.355457463884,57.3869405722671,,25.6906324838413,
West,65.70155902004454,196.418658987177,76.6630882909438,,198.95585723811,
COMP_ONT,127.72254034357105,193.114702028645,107.459074231997,160.322210697881,51.1986071598407,20.4541162375559
