store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
anjou,1580,109.0,0.0689873417721519,22838.68,209.5291743119266,119.0,1.091743119266055,15.3150242326333,221.376542810985
bayshore,890,62.0,0.0696629213483146,10150.87,163.72370967741935,71.0,1.1451612903225805,12.7021883920076,144.874452901998
chicoutimi,1118,56.0,0.05008944543828265,16451.47,293.77625,59.0,1.0535714285714286,19.1111111111111,281.221709401709
COMP_ONT,10296,670.0,0.06507381507381507,142473.59,212.64714925373136,744.0,1.11044776119403,13.9556318619256,193.114702028645
COMP_QUE,10853,1148.0,0.10577720445959643,229480.0292303288,199.89549584523417,1292.0,1.1254355400696865,17.2019548276318,363.724785466114
COMP_TOTAL,21149,1819.0,0.08600879474206818,372237.6192303288,204.6386032052385,2037.0,1.119846069268829,15.4520768134825,271.967671531274
dix30,732,125.0,0.17076502732240437,33445.47,267.56376,148.0,1.184,9.01848049281314,412.059178644764
eatonto,2475,156.0,0.06303030303030303,30627.78,196.3319230769231,168.0,1.0769230769230769,16.0696894275511,198.860166648631
Fairview,1229,72.0,0.05858421480878763,14592.26,202.67027777777778,78.0,1.0833333333333333,17.5780691299166,208.709320619786
fairviewmall,0,,,,,,,0.0,
gatineau,1008,47.0,0.04662698412698413,11649.01,247.85127659574468,53.0,1.127659574468085,22.5671641791045,260.798731343284
gcapitale,1595,109.0,0.06833855799373041,25142.44,230.6645871559633,120.0,1.1009174311926606,16.4857881136951,259.870180878553
GMA,10428,813.0,0.07796317606444189,185209.06,227.80942189421893,908.0,1.116851168511685,18.0978826796251,321.431898646303
GOA_ON,2115,143.0,0.06761229314420804,26875.92,187.9434965034965,164.0,1.1468531468531469,12.490157480315,158.716062992126
GOA_QC,1008,47.0,0.04662698412698413,11649.01,247.85127659574468,53.0,1.127659574468085,22.5671641791045,260.798731343284
GQA,3140,205.0,0.06528662420382166,49744.55,242.65634146341463,226.0,1.102439024390244,18.8872180451128,299.215338345865
Grand_Total,36579,2683.0,0.07334809590202028,573507.8692303288,213.7561942714606,3006.0,1.120387625792024,16.6544494274592,261.118614624413
GTA,10284,607.0,0.05902372617658499,130289.39,214.64479406919276,674.0,1.1103789126853376,14.4353725581939,182.883691659843
guildford,794,40.0,0.05037783375314862,6806.41,170.16025,45.0,1.125,19.1171749598716,163.878250401284
laval,2562,194.0,0.07572209211553474,41965.9,216.31907216494847,209.0,1.077319587628866,17.84329657574,292.275565873476
limeridge,1167,89.0,0.07626392459297343,19641.63,220.69247191011235,98.0,1.101123595505618,13.1517655897821,221.355709992487
mapleview,990,57.0,0.05757575757575758,10412.86,182.68175438596492,63.0,1.1052631578947367,11.9181380417335,125.355457463884
marketmall,1519,82.0,0.053982883475971036,18510.68,225.74,99.0,1.2073170731707317,18.8539511791477,229.756061232933
massonville,880,75.0,0.08522727272727272,15853.51,211.38013333333333,80.0,1.0666666666666667,12.6164874551971,227.290465949821
mtltrust,2330,150.0,0.06437768240343347,31333.36,208.88906666666668,170.0,1.1333333333333333,24.3554006968641,327.526411149826
Ontario,13279,825.0,0.062128172302131184,173018.82,209.71978181818181,918.0,1.1127272727272728,13.955859169732,181.83796111403
oshawa,846,63.0,0.07446808510638298,15008.87,238.23603174603176,72.0,1.1428571428571428,11.3253012048193,200.921954484605
ottawa,1225,81.0,0.06612244897959184,16725.05,206.4820987654321,93.0,1.1481481481481481,12.3404969778375,168.486064472801
pacificcentre,1393,55.0,0.03948312993539124,11126.78,202.30509090909092,63.0,1.1454545454545455,29.2544627231362,233.674063703185
polopark,1357,72.0,0.05305821665438467,14320.38,198.89416666666668,80.0,1.1111111111111112,17.9854208084824,189.799602385686
Quebec,17517,1567.0,0.0894559570702746,340240.8992303288,217.12884443543638,1756.0,1.1206126356094448,18.672517632846,362.685059673099
REGIONAL_ON,880,75.0,0.08522727272727272,15853.51,211.38013333333333,80.0,1.0666666666666667,12.6164874551971,227.290465949821
REGIONAL_QC,2941,180.0,0.06120367222033322,48475.48,269.30822222222224,191.0,1.0611111111111111,19.476821192053,321.029668874172
rivieres,825,61.0,0.07393939393939394,14742.82,241.6855737704918,64.0,1.0491803278688525,20.2868852459016,362.528360655738
scarborough,936,47.0,0.050213675213675216,12432.7,264.52553191489363,54.0,1.148936170212766,18.0811332904057,240.16806181584
sherbrooke,998,63.0,0.06312625250501001,17281.19,274.3046031746032,68.0,1.0793650793650793,19.2540192926045,333.399163987138
sherway,1065,50.0,0.046948356807511735,9643.63,192.8726,55.0,1.1,16.169028340081,146.411386639676
squareone,1234,61.0,0.04943273905996758,13543.14,222.01868852459017,68.0,1.1147540983606556,16.3047786831094,178.944813917639
stbruno,1995,157.0,0.0786967418546366,40777.09,259.72668789808915,178.0,1.1337579617834395,24.1233373639661,493.072430471584
stefoy,1545,96.0,0.062135922330097085,24602.11,256.27197916666665,106.0,1.1041666666666667,22.2302158273381,353.987194244604
uppercanada,812,47.0,0.05788177339901478,12389.55,263.60744680851064,53.0,1.127659574468085,13.1818181818182,201.129058441558
vaughan,759,37.0,0.048748353096179184,6589.23,178.08729729729728,43.0,1.1621621621621623,13.8041830857836,119.840497120339
West,5783,291.0,0.05031990316444752,60248.15,207.03831615120274,332.0,1.140893470790378,18.8535101064986,196.418658987177
westedmonton,720,41.0,0.05694444444444444,9199.9,224.38780487804877,44.0,1.0731707317073171,11.6946399566865,149.429886302112
