store,visits 2019-W36,visits 2019-W35,visits 2018-W36
Alberta,2833,2693,
anjou,2026,2139,2149.0
bayshore,1225,1526,1154.0
British Columbia,2452,3182,
chicoutimi,1304,1315,
dix30,1282,1230,1284.0
eatonto,3241,3111,2445.0
Fairview,1577,1631,1350.0
gatineau,1567,1440,
GCA,1925,1780,
gcapitale,1647,1748,2355.0
GEA,908,913,
GMA,13808,14054,12453.0
GOA,4257,4413,2433.0
GQA,3684,3605,2355.0
Grand_Total,47238,49864,27246.0
GTA,13865,15077,8130.0
guildford,1008,1152,
GVA,2452,3182,
GWA,1494,2002,
laval,3504,3359,3685.0
limeridge,1166,1236,1192.0
Manitoba,1494,2002,
mapleview,1205,1527,
marketmall,1925,1780,
massonville,1106,1168,715.0
mtltrust,2876,2997,3985.0
Ontario,17661,19218,11278.0
oshawa,1005,958,717.0
ottawa,1465,1447,1279.0
pacificcentre,1444,2030,
polopark,1494,2002,
Quebec,22798,22769,15968.0
REGIONAL_ON,1106,1168,715.0
REGIONAL_QC,3739,3670,1160.0
rivieres,1048,1075,1160.0
scarborough,1270,1589,1133.0
sherbrooke,1387,1280,
sherway,1514,1757,1500.0
squareone,1989,2032,
stbruno,2543,2698,
stefoy,2037,1857,
uppercanada,1277,1386,1143.0
vaughan,1198,1481,
westedmonton,908,913,
