store,visits,visits_yoy,conversion,conversion_yoy,units,units_yoy,dpt,dpt_yoy,sales,sales_yoy
anjou,1628,-76.97095436,0.068181818,-76.97095436,121,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
bayshore,916,-76.97095436,0.068181818,-76.97095436,73,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
chicoutimi,1175,-76.97095436,0.068181818,-76.97095436,61,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
dix30,10667,-76.97095436,0.068181818,-76.97095436,777,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
eatonto,11231,-76.97095436,0.068181818,-76.97095436,1340,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
Fairview,21898,-76.97095436,0.068181818,-76.97095436,2118,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
gatineau,756,-76.97095436,0.068181818,-76.97095436,154,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
gcapitale,2578,-76.97095436,0.068181818,-76.97095436,179,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
guildford,1260,-76.97095436,0.068181818,-76.97095436,78,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
laval,1260,-76.97095436,0.068181818,-76.97095436,121.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
limeridge,1260,-76.97095436,0.068181818,-76.97095436,73.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
mapleview,1260,-76.97095436,0.068181818,-76.97095436,61.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
marketmall,1260,-76.97095436,0.068181818,-76.97095436,777.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
massonville,1260,-76.97095436,0.068181818,-76.97095436,1340.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
mtltrust,1260,-76.97095436,0.068181818,-76.97095436,2118.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
Ontario,1260,-76.97095436,0.068181818,-76.97095436,154.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
oshawa,1260,-76.97095436,0.068181818,-76.97095436,179.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
ottawa,1260,-76.97095436,0.068181818,-76.97095436,78.1,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
pacificcentre,1260,-76.97095436,0.068181818,-76.97095436,121.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
polopark,1260,-76.97095436,0.068181818,-76.97095436,73.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
Quebec,1260,-76.97095436,0.068181818,-76.97095436,61.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
rivieres,1260,-76.97095436,0.068181818,-76.97095436,777.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
scarborough,1260,-76.97095436,0.068181818,-76.97095436,1340.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
sherbrooke,1260,-76.97095436,0.068181818,-76.97095436,2118.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
sherway,1260,-76.97095436,0.068181818,-76.97095436,154.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
squareone,1260,-76.97095436,0.068181818,-76.97095436,179.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
stbruno,1260,-76.97095436,0.068181818,-76.97095436,78.2,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
stefoy,1260,-76.97095436,0.068181818,-76.97095436,121.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
uppercanada,1260,-76.97095436,0.068181818,-76.97095436,73.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
vaughan,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
westedmonton,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
GMA,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
GOA_ON,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
GOA_QC,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
GQA,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
Grand_Total,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
GTA,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
Ontario,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
Quebec,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
REGIONAL_ON,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
REGIONAL_QC,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
West,1260,-76.97095436,0.068181818,-76.97095436,61.3,-76.97095436,200,-76.97095436,200.9709544,-76.97095436
