store,budget_dpp,dpp 2019,dpp 2018,dpp 2017,budget_diff,yoy
GOA_QC,190.81379100850546,183.15751861042185,,,-4.012431364430234,
chicoutimi,191.3354340313072,193.88632976888582,182.60145728643215,,1.3332061311556422,6.180056090544772
sherway,185.37185733775092,173.4328625643806,178.16355529480785,,-6.440564897409032,-2.6552527662570364
oshawa,185.49964387464388,186.39569413511506,175.11942115768463,,0.48304688987797995,6.4391904123968216
pacificcentre,224.5078125,175.99263250883394,,,-21.60957315958262,
scarborough,185.47352112676057,181.11989408951143,168.97203406169666,,-2.3473038150139303,7.189272529783979
GOA_ON,188.81064370100475,175.95124703915286,171.76287851889424,144.6267306902748,-6.810737154318312,2.4384596697346788
mtltrust,194.39984680199157,168.3361426003595,170.15811072793363,167.23341211225997,-13.407265813424017,-1.0707500922405584
bayshore,185.87190594059405,172.4713187520103,178.2415857760692,,-7.209581846579163,-3.2373292679904018
sherbrooke,193.9001264222503,188.9830190902663,,,-2.5358969190541747,
guildford,184.9991883116883,160.6670074074074,,,-13.152587925567449,
West,206.5581570996979,166.67943412342515,,,-19.306292976376994,
COMP_QUE,194.39391065161718,144.96402572755358,134.02026421402212,150.64817261107092,-25.427692029226836,8.165751334480987
GTA,185.5839205205043,176.01956892872386,167.46398858686254,141.064552491954,-5.153653164000125,5.1089075412912415
Fairview,194.2649171270718,168.74938302694537,170.2820332590655,154.8320856231818,-13.134401454193783,-0.9000657337632346
eatonto,185.64302757158006,169.55640726993474,158.36177262615618,141.064552491954,-8.66535119151872,7.069025850200384
GQA,193.56120779413953,187.06836119609258,193.65333333333334,,-3.3544152116225425,-3.4003918362231893
Grand_Total,191.32018965263867,165.62024245389813,164.15879647733038,141.20153023901656,-13.432950931839132,0.890263578881425
COMP_TOTAL,191.95019784135403,151.43807518262506,134.0191480514688,150.9136300585612,-21.105538371058127,12.997342084630107
stbruno,194.68145470478694,195.18622927086076,203.3354114114114,,0.2592823064935719,-4.0077535358867244
marketmall,283.727950310559,167.954610624033,,,-40.80434781268621,
mapleview,184.9695550351288,181.4919351732991,,,-1.8801039236804382,
dix30,194.50598340088786,183.59154173445125,184.90931706612764,171.10767355475323,-5.611365509482204,-0.7126603205208486
gcapitale,195.0200148257969,189.1110170178282,193.65333333333334,,-3.029944292254794,-2.3455915977890727
GMA,194.4032930519989,177.00575911211556,177.4236732033066,157.4901768342051,-8.949197138975352,-0.23554584551530883
REGIONAL_QC,192.94220958434389,187.90687681459974,183.22570169491524,,-2.609762156550287,2.554868163353529
westedmonton,143.6994923857868,160.05688693098384,,,11.383056595135852,
polopark,245.74657534246575,167.54080389768575,,,-31.823748239744365,
COMP_ONT,187.30579257300806,176.19466485753054,,,-5.932079068588671,
laval,194.31842266150397,175.03814172716437,177.32056643239625,155.68059013799174,-9.922003621820865,-1.2871742692645056
ottawa,190.4412017167382,178.61080875122911,169.44036520241173,144.6267306902748,-6.212097413198217,5.412195339559422
REGIONAL_ON,185.5582034830431,190.89764952780692,180.7326830087307,159.388612247325,2.877504709864138,5.6243100859545105
Ontario,186.1741508172814,177.0578720829732,169.61680126624572,145.46455516343823,-4.896640427411035,4.386989237609377
gatineau,190.81379100850546,183.15751861042185,,,-4.012431364430234,
uppercanada,185.30067468465825,185.37134775374375,182.44201076921536,,0.0381396717555255,1.6056263424074737
Quebec,193.8685776736102,160.43984302042398,161.95421905573642,140.63960972313467,-17.24298751985769,-0.9350642694842414
rivieres,194.27700291923452,179.1536770583533,183.2708578698655,,-7.7844138182265015,-2.2465005398925224
anjou,194.0579085168643,170.50130450070324,178.3027376159636,,-12.138955941655905,-4.37538605383807
vaughan,185.79042386185245,172.61786308973174,,,-7.090010614279765,
squareone,186.70322019147085,176.5762278978389,,,-5.424112280037994,
massonville,185.5582034830431,190.89764952780692,180.7326830087307,159.388612247325,2.877504709864138,5.6243100859545105
stefoy,191.35500747384157,184.60559882772742,,,-3.5271659389612715,
limeridge,185.57440246723206,169.80849194729137,167.25022925542706,,-8.495735570386433,1.529601904435826
