store,budget_dpt,dpt 2019,dpt 2018,dpt 2017,budget_diff,yoy
stefoy,217.2993846806705,213.55618016409045,,,-1.7226024464270004,
Fairview,216.84828862164662,194.40203075137802,186.16256770877462,166.722362649336,-10.351134432715067,4.42595047114568
GOA_ON,215.56258666330518,200.28582077716098,195.14797003313643,172.40519132234095,-7.086928266455402,2.6327974322008743
Quebec,216.93742448799176,190.4601226983757,184.12454933375744,155.3509719377302,-12.205041085975308,3.4409172419121297
gcapitale,216.88540807914262,211.85927825692238,220.4057991681521,,-2.317412622054399,-3.877629782648965
squareone,211.69934210526316,198.07669421487603,,,-6.434903271269281,
guildford,210.25738007380073,182.88403035413154,,,-13.01897213313564,
dix30,216.88055525664478,227.595409556314,212.98551970730085,187.24487425633166,4.940440274597151,6.859569546836352
bayshore,211.9005291005291,200.75377386746536,203.3556688596491,,-5.2603715905662165,-1.279479941117115
GTA,211.78144736436735,201.6617787557361,192.06041687797412,155.07830973603294,-4.778354636145483,4.999136226941663
chicoutimi,216.91150034570177,226.36990334273057,243.87711409395973,,4.360489407871184,-7.178701788509796
pacificcentre,261.24545454545455,189.37610266159695,,,-27.51027841188828,
mtltrust,216.88278023073636,193.41389370783423,192.04990216705238,189.64324958123953,-10.821000403044517,0.7102276675962
sherway,211.78868848808727,199.8731115276476,205.5362301184433,,-5.626163061635799,-2.755289706117627
westedmonton,167.90510083036773,194.2936541889483,,,15.716350026340518,
GMA,216.85986118324755,207.5317624709768,197.49782037370744,171.10184306327506,-4.301440875860596,5.080533080457811
West,237.88025514641924,198.66627386103335,,,-16.4847566946021,
gatineau,217.5819189470038,199.27775377969763,,,-8.412539633757211,
stbruno,216.84321620302586,232.70437313667034,241.30681397006416,,7.314573732753523,-3.56493904662842
Ontario,212.47350901525658,202.9252690119718,194.5928395889491,164.85805565980735,-4.493849632143633,4.28198151618726
polopark,284.75396825396825,197.34720229555236,,,-30.695539203323396,
oshawa,211.7410569105691,219.8555166374781,212.26168548387096,,3.832256174264882,3.5775797861475898
scarborough,211.7822450948858,206.5204246201792,193.39498712762045,,-2.484542777582294,6.786855071841823
COMP_TOTAL,215.82604644662365,179.01689844961297,157.12589771551512,161.91349080648885,-17.055007309376826,13.932140437938934
COMP_QUE,216.8548301767009,173.77987253278184,157.12720631988802,161.6286845768126,-19.86349928605236,10.598206766937256
GQA,217.0481194229005,212.61514179996425,220.4057991681521,,-2.042393933070184,-3.534688015284115
anjou,216.90790153210534,204.731142073042,195.29208972392638,,-5.613792477385162,4.833299885550457
marketmall,324.4332386363636,209.9703352675693,,,-35.28088054414438,
COMP_ONT,213.8251474825079,197.7695217788608,,,-7.508764003055596,
GOA_QC,217.5819189470038,199.27775377969763,,,-8.412539633757211,
REGIONAL_QC,216.94658642091406,221.672650764526,204.2765759637188,,2.178446050514277,8.51594203532022
limeridge,211.78178618565772,199.7919035314384,200.9693759141882,,-5.661432397075176,-0.5858964219765274
ottawa,217.5990584542958,199.94187396807925,192.2222630447528,172.40519132234095,-8.114550040631375,4.015981708387859
REGIONAL_ON,211.76150627615064,223.4956511056511,213.41075733544807,176.19316242036564,5.541207670764487,4.725578924004841
rivieres,216.93444404201375,201.63855150697256,201.9135482579095,,-7.050928497126461,-0.13619529412938214
sherbrooke,216.99915110356537,231.1487316229461,,,6.520569526388459,
Grand_Total,215.88245664563314,194.5563380704643,187.11699773705033,156.41607790231507,-9.878578790760779,3.975769397427082
uppercanada,211.7633255112303,216.2425854037267,216.44820869490584,,2.115219848235174,-0.094998841717821
mapleview,211.8900067069081,213.08548229088169,,,0.5641963028616004,
vaughan,211.71466905187836,196.42095789473683,,,-7.223737129614744,
laval,216.80775352432923,196.21365358921415,188.6872694088319,168.98125273303037,-9.498783876658784,3.98881397985292
massonville,211.76150627615064,223.4956511056511,213.41075733544807,176.19316242036564,5.541207670764487,4.725578924004841
eatonto,211.8104960677556,187.74719529478458,173.94134516460906,155.07830973603294,-11.360768809716332,7.9370721878173285
