district,retail_orders 2019,retail_orders 2018,retail_orders 2017,webcs_orders 2019,webcs_orders 2018,webcs_orders 2017,total_orders 2019,total_orders 2018
Alberta,2121.0,66.0,57.0,506.0,537.0,457.0,2627.0,603.0
Prince Edward Island,1.0,,2.0,9.0,4.0,5.0,10.0,
New Brunswick,44.0,25.0,12.0,85.0,83.0,42.0,129.0,108.0
Ontario,35087.0,28816.0,5062.0,3857.0,2778.0,1436.0,38944.0,31594.0
International,71.0,82.0,55.0,386.0,663.0,745.0,457.0,745.0
British Columbia,1182.0,55.0,19.0,379.0,423.0,316.0,1561.0,478.0
Quebec,54719.0,50206.0,22352.0,7853.0,7570.0,7251.0,62572.0,57776.0
Texas,4.0,2.0,1.0,582.0,946.0,845.0,586.0,948.0
Rest of CAN,22.0,22.0,8.0,32.0,33.0,21.0,54.0,55.0
New York,29.0,23.0,10.0,745.0,1072.0,1044.0,774.0,1095.0
Yukon,5.0,2.0,,5.0,7.0,2.0,10.0,9.0
California,20.0,21.0,4.0,1629.0,2549.0,2611.0,1649.0,2570.0
Rest of US,99.0,101.0,44.0,4782.0,7459.0,7272.0,4881.0,7560.0
Manitoba,700.0,21.0,4.0,136.0,144.0,97.0,836.0,165.0
United States,152.0,147.0,59.0,7738.0,12026.0,11772.0,7890.0,12173.0
Canada,93937.0,79271.0,27534.0,13083.0,11789.0,9757.0,107020.0,91056.0
Saskatchewan,22.0,7.0,5.0,96.0,108.0,53.0,118.0,115.0
Nova Scotia,34.0,51.0,13.0,125.0,102.0,77.0,159.0,153.0
