store,budget_worked,worked 2019,worked 2018,worked 2017,budget_diff,yoy
sherway,8608.0,6883.03333333334,2121.6,,-20.0391109045848,224.426533433887
polopark,1576.0,1714.9,,,8.81345177664967,
anjou,8835.0,8801.36666666665,2391.33333333333,,-0.380682890020978,268.05269027042
squareone,6882.0,4726.28333333333,,,-31.3239852755982,
sherbrooke,6939.0,7883.6,,,13.6129125234184,
ottawa,8087.0,7449.71666666666,2237.33333333333,,-7.88034293722441,232.973033373063
scarborough,5836.0,6664.1,1801.8,,14.1895133653187,269.85791985792
West,13633.0,10091.4166666667,,,-25.97801902247,
GQA,18990.0,13807.5166666667,2844.31666666666,,-27.2905915394068,385.442314791486
gcapitale,10904.0,8060.91666666668,2844.31666666666,,-26.0737649792124,183.404332616505
COMP_ONT,25735.0,26376.6500000001,,,2.49329706625254,
massonville,5636.0,6165.23333333333,1900.28333333333,,9.39022947717054,224.437583869072
pacificcentre,533.0,1517.0,,,184.615384615385,
COMP_QUE,44385.0,39729.7,2107.58333333333,,-10.4884533062972,1785.08323118896
REGIONAL_QC,20053.0,19036.0166666667,2361.31666666666,,-5.07147725194875,706.161110679778
laval,13734.0,12111.85,3720.43333333333,,-11.8111984855102,225.549443165223
Fairview,5900.0,6608.98333333335,2107.58333333333,,12.016666666667,213.58111581195
limeridge,8657.0,8068.51666666668,2589.28333333333,,-6.79777444072214,211.611964700658
GOA_QC,6092.0,4013.26666666666,,,-34.1223462464435,
REGIONAL_ON,5636.0,6165.23333333333,1900.28333333333,,9.39022947717054,224.437583869072
eatonto,12012.0,12759.7,4628.01666666667,,6.2246087246087,175.705575822617
GTA,67337.0,62668.0499999988,15057.4666666667,,-6.93370658033646,316.192520211449
stefoy,8086.0,5746.6,,,-28.931486519911,
GOA_ON,14494.0,14177.75,4226.48333333333,,-2.18193735338743,235.45027584004
Ontario,87467.0,83011.0333333327,21184.2333333334,,-5.09445467052405,291.852903181136
westedmonton,3900.0,1715.2,,,-56.0205128205128,
Quebec,110009.0,95346.483333334,23506.6833333334,,-13.3284700948704,305.614360738543
uppercanada,7328.0,6981.20000000001,2072.66666666667,,-4.73253275109163,236.822129302027
COMP_TOTAL,70120.0,66211.099999999,2117.58333333333,,-5.57458642327583,3026.72936917078
bayshore,6407.0,6728.03333333334,1989.15,,5.0106654180325,238.236600222876
rivieres,5506.0,4828.0,1859.5,,-12.313839447875,159.639688088196
dix30,13300.0,10491.0833333333,4013.94999999999,,-21.1196741854636,161.365570904802
mtltrust,11451.0,10517.7833333333,3251.58333333333,,-8.1496521410068,223.466516312565
vaughan,6194.0,3270.28333333333,,,-47.2024001722097,
mapleview,6533.0,7740.70000000001,238.5,,18.486147252411,3145.57651991615
chicoutimi,7608.0,6324.41666666667,501.816666666667,,-16.8714949176305,1160.3042279717
marketmall,4564.0,3147.28333333333,,,-31.0411189015484,
guildford,3060.0,1997.03333333334,,,-34.7374727668845,
oshawa,5287.0,5572.23333333333,1605.6,,5.3949940104659,247.049908653047
stbruno,11654.0,9958.61666666666,2816.16666666667,,-14.5476517361707,253.623128365982
gatineau,6092.0,4013.26666666666,,,-34.1223462464435,
GMA,64874.0,58489.6833333328,18301.05,,-9.84110223921327,219.597418363061
Grand_Total,211549.0,188553.683333333,44700.9166666664,,-10.8699718111014,321.811670528757
