store,budget_orders,orders 2019,orders 2018,orders 2017,budget_diff,yoy
stefoy,4713.0,3539,,,-24.90982389136431,
Fairview,3243.0,3447,3828.0,2995.0,6.2904717853839,-9.952978056426332
GOA_ON,7933.0,6305,6941.0,1942.0,-20.52187066683474,-9.162944820631033
Quebec,67870.0,76104,74248.0,44425.0,12.13201709149845,2.499730632474949
gcapitale,7278.0,4406,3366.0,,-39.461390491893376,30.8972073677956
squareone,3040.0,1815,,,-40.296052631578945,
guildford,1084.0,593,,,-45.29520295202952,
dix30,9293.0,6446,12026.0,5132.0,-30.63596255245884,-46.39946781972393
bayshore,2835.0,2671,1824.0,,-5.784832451499118,46.43640350877193
GTA,32459.0,26586,20262.0,2587.0,-18.093594996765148,31.211134142730234
chicoutimi,4339.0,2483,149.0,,-42.77483291080894,1566.4429530201342
pacificcentre,440.0,526,,,19.54545454545455,
mtltrust,7021.0,7263,9506.0,597.0,3.44680244979348,-23.595623816536925
sherway,4491.0,3201,2955.0,,-28.724114896459586,8.3248730964467
westedmonton,843.0,561,,,-33.45195729537367,
GMA,42358.0,36925,43759.0,22157.0,-12.826384626280749,-15.617358714778675
West,3449.0,3929,,,13.91707741374311,
gatineau,2887.0,1852,,,-35.85036369934188,
stbruno,8196.0,6373,1403.0,,-22.242557345046365,354.2409123307199
Ontario,43260.0,35333,29725.0,5468.0,-18.324086916319924,18.86627417998318
polopark,378.0,697,,,84.39153439153439,
oshawa,2460.0,2284,1240.0,,-7.154471544715447,84.19354838709677
scarborough,3109.0,2567,2719.0,,-17.43325828240592,-5.590290547995586
COMP_TOTAL,42931.0,60155,27579.0,4061.0,40.12019286762479,118.11885855179666
COMP_QUE,28353.0,47022,27579.0,4061.0,65.84488413924451,70.49929294028065
GQA,11991.0,7945,3366.0,,-33.74197314652656,136.03683897801545
anjou,5809.0,4737,5216.0,,-18.45412291272164,-9.183282208588958
marketmall,704.0,1551,,,120.3125,
COMP_ONT,14578.0,13132,,,-9.919056111949512,
GOA_QC,2887.0,1852,,,-35.85036369934188,
REGIONAL_QC,10634.0,8175,2646.0,,-23.12394207259733,208.95691609977325
limeridge,4546.0,3483,4102.0,,-23.383194016717994,-15.090199902486592
ottawa,5098.0,3634,5117.0,1942.0,-28.7171439780306,-28.981825288254836
REGIONAL_ON,2868.0,2442,2522.0,939.0,-14.853556485355648,-3.1720856463124503
rivieres,2761.0,2223,2497.0,,-19.485693589279247,-10.973167801361633
sherbrooke,3534.0,3469,,,-1.8392756083757782,
Grand_Total,114579.0,115366,103973.0,49893.0,0.6868623395212037,10.95765246746752
uppercanada,2983.0,2576,1470.0,,-13.64398256788468,75.23809523809524
mapleview,2982.0,2654,,,-10.999329309188465,
vaughan,2236.0,950,,,-57.513416815742396,
laval,8796.0,8233,11232.0,8919.0,-6.400636653024102,-26.700498575498575
massonville,2868.0,2442,2522.0,939.0,-14.853556485355648,-3.1720856463124503
eatonto,6612.0,7056,7776.0,2587.0,6.71506352087114,-9.25925925925926
