legacy_id,region,zone,is_comp_week,is_comp_period,is_comp_quarter,is_comp_year
ottawa,GOA_ON,Ontario,True,True,True,True
laval,GMA,Quebec,True,True,True,True
dix30,GMA,Quebec,True,True,True,True
anjou,GMA,Quebec,True,True,True,False
uppercanada,GTA,Ontario,True,True,True,False
fairviewmall,GTA,Ontario,False,False,False,False
marketmall,West,West,False,False,False,False
rivieres,REGIONAL_QC,Quebec,True,True,True,False
sherway,GTA,Ontario,True,True,True,False
kingsway,West,West,False,False,False,False
stbruno,GMA,Quebec,False,False,False,False
massonville,REGIONAL_ON,Ontario,True,True,True,True
chinook,West,West,False,False,False,False
oshawa,GTA,Ontario,True,True,True,False
chicoutimi,REGIONAL_QC,Quebec,False,False,False,False
scarborough,GTA,Ontario,True,True,True,False
stefoy,GQA,Quebec,False,False,False,False
vaughan,GTA,Ontario,False,False,False,False
gcapitale,GQA,Quebec,True,True,True,False
pacificcentre,West,West,False,False,False,False
polopark,West,West,False,False,False,False
gatineau,GOA_QC,Quebec,False,False,False,False
sherbrooke,REGIONAL_QC,Quebec,False,False,False,False
westedmonton,West,West,False,False,False,False
Fairview,GMA,Quebec,True,True,True,True
mapleview,GTA,Ontario,False,False,False,False
mtltrust,GMA,Quebec,True,True,True,True
guildford,West,West,False,False,False,False
eatonto,GTA,Ontario,True,True,True,True
limeridge,GTA,Ontario,True,True,True,False
cathedrale,GMA,Quebec,False,False,False,False
chateau,GMA,Quebec,True,True,True,True
bayshore,GOA_ON,Ontario,True,True,True,False
squareone,GTA,Ontario,False,False,False,False
