store,budget_sales,sales 2019,sales 2018,sales 2017,budget_diff,yoy
GTA,6874214.0,5361380.05,3891528.1667815116,401187.5872871172,-22.00737349753732,37.770557483440484
Ontario,9191604.0,7169958.53,5784272.156781511,901443.8483478266,-21.994479635980838,23.95610606935053
Fairview,703239.0,670103.8,712630.3091891892,499333.4761347613,-4.7117978382882635,-5.96754146446208
COMP_ONT,3117143.0,2597109.36,,,-16.68302160022816,
stefoy,1024132.0,755775.3216007161,,,-26.203329102038012,
REGIONAL_QC,2307010.0,1812173.92,540515.82,,-21.449238624886757,235.26750798894287
marketmall,228401.0,325663.99,,,42.584310051181916,
GOA_QC,628159.0,369062.4,,,-41.24697727804585,
mtltrust,1522734.0,1404765.11,1825626.37,113217.02,-7.74717646023534,-23.052978797627688
mapleview,631856.0,565528.87,,,-10.497190815628878,
stbruno,1777247.0,1483024.97,338553.46,,-16.55493186934624,338.0475006812809
ottawa,1109320.0,726588.77,983601.32,334810.8815479861,-34.501427000324526,-26.12974838220022
Grand_Total,24735596.0,22445186.497837182,19455115.605714332,7804067.374780206,-9.25956868863324,15.369072858372585
bayshore,600738.0,536213.33,370920.74,,-10.74090035922482,44.562779099383874
COMP_TOTAL,9265628.0,10768761.526236467,4333375.133096191,657530.6861651512,16.222683732138478,148.50748424686233
gcapitale,1578492.0,933451.98,741885.92,,-40.86431986985046,25.821498270246185
guildford,227919.0,108450.23,,,-52.41720523519321,
GMA,9185750.0,7663110.3292408185,8642307.121733064,3791103.5367529853,-16.576106150931405,-11.330270710118954
GQA,2602624.0,1689227.301600716,741885.92,,-35.09522306715392,127.69367311900407
vaughan,473394.0,186599.91,,,-60.58253590032827,
pacificcentre,114948.0,99611.83,,,-13.34183282875735,
polopark,107637.0,137551.0,,,27.791558664771408,
limeridge,962760.0,695875.2,824376.38,,-27.720802692259753,-15.587683383165345
Quebec,14723543.0,14494777.177837184,13670879.538932823,6901466.928333664,-1.5537416650517886,6.026661536721268
chicoutimi,941179.0,562076.47,36337.69,,-40.27953556124818,1446.8139829471825
eatonto,1400491.0,1324744.21,1352567.9,401187.5872871172,-5.408588130876956,-2.057101162906498
anjou,1260018.0,969811.42,1018643.54,,-23.03193922626502,-4.793837891516006
GOA_ON,1710058.0,1262802.1,1354522.06,334810.8815479861,-26.154428680196812,-6.7713891643817155
sherbrooke,766875.0,801854.95,,,4.561362673186634,
oshawa,520883.0,502150.0,263204.49,,-3.5963930479589465,90.78321954158153
scarborough,658431.0,530137.93,525840.97,,-19.48466430043543,0.8171596062589037
West,820449.0,780559.79,,,-4.861875631513963,
REGIONAL_ON,607332.0,545776.38,538221.93,165445.37951272333,-10.135415225939026,1.4035938669388666
COMP_QUE,6148485.0,8171477.166236468,4333411.223096191,656374.088066436,32.902286762291325,88.56916054225765
uppercanada,631690.0,557040.9,318178.8667815116,,-11.81736294701515,75.07162107737068
squareone,643566.0,359509.2,,,-44.137943893866364,
gatineau,628159.0,369062.4,,,-41.24697727804585,
rivieres,598956.0,448242.5,504178.13,,-25.162699764256473,-11.094418157328642
westedmonton,141544.0,108998.74,,,-22.993033968236027,
sherway,951143.0,639793.83,607359.56,,-32.73421241600895,5.3402090188553215
massonville,607332.0,545776.38,538221.93,165445.37951272333,-10.135415225939026,1.4035938669388666
dix30,2015471.0,1467080.01,2561363.86,960940.6946834942,-27.209073710313866,-42.722702037343495
laval,1907041.0,1615427.01,2119335.41,1507143.793125898,-15.29143788728192,-23.77671781551557
