store,budget_products,quantity 2019,quantity 2018,quantity 2017,budget_diff,yoy
GOA_QC,3292.0,2015,,,-38.7910085054678,
chicoutimi,4919.0,2899,199.0,,-41.06525716609067,1356.78391959799
sherway,5131.0,3689,3409.0,,-28.10368349249659,8.2135523613963
oshawa,2808.0,2694,1503.0,,-4.05982905982906,79.24151696606786
pacificcentre,512.0,566,,,10.546875,
scarborough,3550.0,2927,3112.0,,-17.549295774647888,-5.9447300771208225
GOA_ON,9057.0,7177,7886.0,2315.0,-20.75742519598101,-8.990616282018767
mtltrust,7833.0,8345,10729.0,677.0,6.53644835950466,-22.22015099263678
bayshore,3232.0,3109,2081.0,,-3.8056930693069306,49.3993272465161
sherbrooke,3955.0,4243,,,7.2819216182048,
guildford,1232.0,675,,,-45.21103896103896,
West,3972.0,4683,,,17.90030211480363,
COMP_QUE,31629.0,56369,32334.0,4357.0,78.21935565462076,74.3335188965176
GTA,37041.0,30459,23238.0,2844.0,-17.76949866364299,31.07410276271624
Fairview,3620.0,3971,4185.0,3225.0,9.69613259668508,-5.113500597371565
eatonto,7544.0,7813,8541.0,2844.0,3.56574761399788,-8.52359208523592
GQA,13446.0,9030,3831.0,,-32.84248103525212,135.70869224745496
Grand_Total,129289.0,135522,118514.0,55269.0,4.82098245016977,14.35104713367197
COMP_TOTAL,48271.0,71110,32334.0,4357.0,47.31412235089391,119.92330055050411
stbruno,9129.0,7598,1665.0,,-16.770730638624165,356.33633633633633
marketmall,805.0,1939,,,140.8695652173913,
mapleview,3416.0,3116,,,-8.782201405152225,
dix30,10362.0,7991,13852.0,5616.0,-22.881683072765874,-42.31157955529888
gcapitale,8094.0,4936,3831.0,,-39.01655547319002,28.84364395719133
GMA,47251.0,43293,48710.0,24072.0,-8.376542295401155,-11.120919729008417
REGIONAL_QC,11957.0,9644,2950.0,,-19.344317136405454,226.91525423728814
westedmonton,985.0,681,,,-30.86294416243655,
polopark,438.0,821,,,87.44292237442922,
COMP_ONT,16642.0,14740,,,-11.428914793894965,
laval,9814.0,9229,11952.0,9681.0,-5.960872223354392,-22.782797858099062
ottawa,5825.0,4068,5805.0,2315.0,-30.163090128755364,-29.92248062015504
REGIONAL_ON,3273.0,2859,2978.0,1038.0,-12.648945921173235,-3.9959704499664204
Ontario,49371.0,40495,34102.0,6197.0,-17.978165319722105,18.74670107325084
gatineau,3292.0,2015,,,-38.7910085054678,
uppercanada,3409.0,3005,1744.0,,-11.85098269287181,72.30504587155963
Quebec,75946.0,90344,84412.0,49072.0,18.95820714718353,7.02743685731886
rivieres,3083.0,2502,2751.0,,-18.845280570872525,-9.051254089422029
anjou,6493.0,5688,5713.0,,-12.397967041429231,-0.43759845965342203
vaughan,2548.0,1081,,,-57.574568288854,
squareone,3447.0,2036,,,-40.93414563388454,
massonville,3273.0,2859,2978.0,1038.0,-12.648945921173235,-3.9959704499664204
stefoy,5352.0,4094,,,-23.50523168908819,
limeridge,5188.0,4098,4929.0,,-21.010023130300695,-16.859403530127814
