store,budget_sphw,sphw 2019,sphw 2018,sphw 2017,budget_diff,yoy
sherway,110.49523698884758,92.9523073644856,286.274302413273,,-15.8766387605763,-67.5303348638338
polopark,68.2975888324873,80.2093416525746,,,17.440956589702,
anjou,142.61663837011884,110.188730538061,425.973044326735,,-22.7378153086888,-74.1324640125485
squareone,93.51438535309504,76.0659432887717,,,-18.6585646672871,
sherbrooke,110.51664504971897,101.711775077376,,,-7.96700801800677,
ottawa,137.17324100408064,97.5324032457611,439.63110250298,,-28.8983751263414,-77.8149446910208
scarborough,112.82230980123371,79.5513167569514,291.84203019203,,-29.4897286741407,-72.7416518091629
West,60.18110467248588,77.3488813100242,,,28.5268552828463,
GQA,137.05234333859926,122.341137974416,260.830985766939,,-10.7340049836563,-53.0956271875874
gcapitale,144.76265590608952,115.799730799847,260.830985766939,,-20.0071799767417,-55.6035374940776
COMP_ONT,121.12465513891587,98.4624415913314,,,-18.7098270963856,
massonville,107.75940383250533,88.5248538849571,283.232463579992,,-17.8495326286746,-68.7448067336549
pacificcentre,215.6622889305816,65.6636980883322,,,-69.5525358587526,
COMP_QUE,138.52619128083813,205.676790064775,2056.10433265408,,48.4750198955518,-89.9967726929848
REGIONAL_QC,115.04562908293023,95.1971177443458,228.904419144686,,-17.2527296315419,-58.4118480105998
laval,138.85546818115625,133.375744415593,569.647463109137,,-3.94635071801024,-76.586265532084
Fairview,119.19305084745763,101.392871823452,338.126753005823,,-14.9339067147346,-70.013354186823
limeridge,111.21173616726348,86.245741162667,318.380136073688,,-22.4490650582483,-72.9110797469143
GOA_QC,103.11211424819436,91.9605973521156,,,-10.8149434985269,
REGIONAL_ON,107.75940383250533,88.5248538849571,283.232463579992,,-17.8495326286746,-68.7448067336549
eatonto,116.59099234099234,103.822520121946,292.256488560615,,-10.9515083135257,-64.4755465881083
GTA,102.08672795045814,85.5520484521235,258.445079303834,,-16.196698464426,-66.8973970475381
stefoy,126.65495918872125,131.516952911411,,,3.83877090469507,
GOA_ON,117.9838553884366,89.0692881451569,320.484420065539,,-24.5072235926557,-72.2079194592542
Ontario,105.08653549338608,86.3735607435323,273.046093562422,,-17.8072049497069,-68.3666740598191
westedmonton,36.29333333333334,63.5487056902985,,,75.0974624089781,
Quebec,133.83944040942106,152.022147761476,581.574156807863,,13.5854627727319,-73.8602298637386
uppercanada,86.20223799126637,79.7915687847361,153.511836658819,,-7.43677815787078,-48.0225300397692
COMP_TOTAL,132.13958927552767,162.642842759547,2046.37761588109,,23.0841140427764,-92.0521588245814
bayshore,93.76275948181676,79.6983759493858,186.471980494181,,-14.9999675885802,-57.2598651346051
rivieres,108.78241917907737,92.8422742336371,271.136396880882,,-14.6532363094441,-65.7580924945221
dix30,151.5391729323308,139.840659290032,638.115537064489,,-7.71979509715475,-78.0853699420424
mtltrust,132.97825517422058,133.560947728213,561.457660114304,,0.438186343495794,-76.2117507309416
vaughan,76.42783338714885,57.0592486889516,,,-25.3423181579475,
mapleview,96.71758763202205,73.059138062449,,,-24.461372692199,
chicoutimi,123.70912197686646,88.8740416112157,72.4122820419144,,-28.1588615366334,22.7333804502568
marketmall,50.04404031551271,103.474633678781,,,106.767145551008,
guildford,74.48333333333333,54.3056684081387,,,-27.090174435258,
oshawa,98.52146775108757,90.1164703559913,163.929054559043,,-8.53113294691394,-45.0271517770918
stbruno,152.50102968937705,148.91877252028,120.21783511866,,-2.34900523386221,23.8741093393428
gatineau,103.11211424819436,91.9605973521156,,,-10.8149434985269,
GMA,141.5937047199186,131.016444140563,472.230124595752,,-7.47014890264931,-72.255805524326
Grand_Total,116.9260833187583,119.038706118287,435.228560317692,,1.80680198939815,-72.6491510503365
