store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
anjou,70095,4737.0,0.06757971324630858,969811.42,204.731142073042,5688.0,1.200759974667511,7.96410405959682,110.188730538061
bayshore,40798,2671.0,0.06546889553409481,536213.33,200.75377386746536,3109.0,1.1639835267690004,6.06388196649837,79.6983759493858
chicoutimi,49593,2483.0,0.050067549855826426,562076.47,226.36990334273057,2899.0,1.1675392670157068,7.84151371009183,88.8740416112157
COMP_ONT,206011,13132.0,0.06374416900068443,2597109.36,197.7695217788608,14740.0,1.1224489795918366,7.81035499200995,98.4624415913314
COMP_QUE,327261,47022.0,0.14368348199143802,8171477.166236468,173.77987253278184,56369.0,1.1987792947981797,8.23718779653509,205.676790064775
COMP_TOTAL,533272,60155.0,0.11280359741370258,10768761.526236467,179.01689844961297,71110.0,1.1821128750727288,8.05411781408266,162.642842759547
dix30,54210,6446.0,0.11890795056262682,1467080.01,227.595409556314,7991.0,1.2396835246664597,5.16724520028913,139.840659290032
eatonto,114992,7056.0,0.06136079031584806,1324744.21,187.74719529478458,7813.0,1.1072845804988662,9.01212410950101,103.822520121946
Fairview,49763,3447.0,0.06926833189317365,670103.8,194.40203075137802,3971.0,1.1520162460110241,7.52959986281297,101.392871823452
fairviewmall,0,,,,,,,0.0,
gatineau,48718,1852.0,0.03801469682663492,369062.4,199.27775377969763,2015.0,1.088012958963283,12.1392381933255,91.9605973521156
gcapitale,67347,4406.0,0.06542236476754718,933451.98,211.85927825692238,4936.0,1.1202905129369043,8.35475700654391,115.799730799847
GMA,481434,36925.0,0.07669794821304686,7663110.3292408185,207.5317624709768,43293.0,1.1724576844955992,8.2310926057901,131.016444140563
GOA_ON,96611,6305.0,0.06526171967995363,1262802.1,200.28582077716098,7177.0,1.1383029341792228,6.8142688367336,89.0692881451569
GOA_QC,48718,1852.0,0.03801469682663492,369062.4,199.27775377969763,2015.0,1.088012958963283,12.1392381933255,91.9605973521156
GQA,129191,7945.0,0.06149809197235102,1689227.301600716,212.61514179996425,9030.0,1.1365638766519823,9.35657027392086,122.341137974416
Grand_Total,1437704,115366.0,0.08024322113592228,22445186.497837182,194.5563380704643,135522.0,1.1747135204479655,7.62490540934364,119.038706118287
GTA,423883,26586.0,0.0627201373964042,5361380.05,201.6617787557361,30459.0,1.1456781764838637,6.76394111512976,85.5520484521235
guildford,13431,593.0,0.044151589606135064,108450.23,182.88403035413154,675.0,1.1382799325463744,6.72547612291565,54.3056684081387
