store,visits 2019,visits 2018,visits 2017
Fairview,46513,47484.0,
gatineau,43170,,
westedmonton,8206,,
limeridge,40286,54847.0,
GTA,396019,336944.0,13812.0
rivieres,35004,47611.0,
Grand_Total,1337581,1115421.0,162207.0
polopark,11394,,
anjou,66023,83058.0,
sherway,47317,49755.0,
stbruno,78830,20163.0,
GEA,8206,,
sherbrooke,56730,,
Alberta,26896,,
bayshore,38359,30495.0,
GQA,120973,47681.0,
Ontario,519782,472364.0,54791.0
Quebec,756654,643057.0,107416.0
Manitoba,11394,,
scarborough,45493,54815.0,
guildford,11471,,
GWA,11394,,
vaughan,19656,,
ottawa,52651,68821.0,29628.0
dix30,52220,86366.0,19607.0
GMA,454138,542697.0,107416.0
gcapitale,63343,47681.0,
GOA,134180,99316.0,29628.0
stefoy,57630,,
eatonto,108104,127220.0,13812.0
pacificcentre,11384,,
GCA,18690,,
chicoutimi,46639,5068.0,
massonville,32753,36104.0,11351.0
squareone,32476,,
REGIONAL_QC,138373,52679.0,
oshawa,28117,23958.0,
British Columbia,22855,,
marketmall,18690,,
laval,109354,161800.0,75310.0
mapleview,40713,,
uppercanada,33857,26349.0,
mtltrust,101198,143826.0,12499.0
REGIONAL_ON,32753,36104.0,11351.0
GVA,22855,,
