store,budget_upt,upt 2019,upt 2018,upt 2017,budget_diff,yoy
anjou,1.1177483215699775,1.200759974667511,1.0952837423312882,,7.4266855512640095,9.630037246030774
bayshore,1.1400352733686068,1.1639835267690004,1.1408991228070176,,2.100658984842702,2.0233518897960985
chicoutimi,1.1336713528462778,1.1675392670157068,1.3355704697986577,,2.9874543521275054,-12.58123076113552
COMP_ONT,1.1415832075730552,1.1224489795918366,,,-1.6761133007463291,
COMP_QUE,1.1155433287482805,1.1987792947981797,1.1724137931034484,1.0728884511204138,7.461473158850379,2.2488222033741403
COMP_TOTAL,1.124385642076821,1.1821128750727288,1.1724137931034484,1.0728884511204138,5.134113318032194,0.8272746385562779
dix30,1.1150328204024536,1.2396835246664597,1.1518376850157992,1.0943102104442712,11.179106299222259,7.626581487430303
eatonto,1.1409558378705384,1.1072845804988662,1.0983796296296295,1.0993428681870894,-2.9511446678353206,0.8107352530053132
Fairview,1.1162503854455752,1.1520162460110241,1.0932601880877744,1.0767946577629381,3.204107342921301,5.374389240865
gatineau,1.14028403186699,1.088012958963283,,,-4.584039716676865,
gcapitale,1.112118713932399,1.1202905129369043,1.1381461675579323,,0.7347955665281548,-1.5688366863581462
GMA,1.1155153689975918,1.1724576844955992,1.1131424392696359,1.0864286681409938,5.104574717708813,5.328630293251746
GOA_ON,1.141686625488466,1.1383029341792228,1.1361475291744705,1.1920700308959835,-0.29637653920973295,0.18971171871653203
GOA_QC,1.14028403186699,1.088012958963283,,,-4.584039716676865,
GQA,1.1213410057543158,1.1365638766519823,1.1381461675579323,,1.357559459571032,-0.13902352360812748
Grand_Total,1.1283830370312187,1.1747135204479655,1.1398536158425745,1.107750586254585,4.105918105490378,3.0582790738109664
GTA,1.141162697556918,1.1456781764838637,1.146875925377554,1.0993428681870894,0.3956910733774246,-0.10443578657351626
guildford,1.136531365313653,1.1382799325463744,,,0.15385120781411438,
laval,1.1157344247385175,1.1209765577553747,1.064102564102564,1.0854355869492096,0.4698369881422043,5.344784945685815
limeridge,1.141223053233612,1.1765719207579672,1.2016089712335447,,3.0974547371958208,-2.0836271262085226
mapleview,1.1455399061032865,1.174076865109269,,,2.4911361755222514,
marketmall,1.1434659090909092,1.250161186331399,,,9.33086648165279,
massonville,1.141213389121339,1.1707616707616708,1.1808088818398097,1.1054313099041535,2.5891986478604303,-0.8508752968121661
mtltrust,1.115653040877368,1.1489742530634723,1.1286555859457186,1.134003350083752,2.9867002522486876,1.8002539809988682
Ontario,1.14126213592233,1.146095717884131,1.1472497897392766,1.1333211411850768,0.42352951260356697,-0.10059464516511035
oshawa,1.1414634146341462,1.179509632224168,1.2120967741935484,,3.3331088059634486,-2.6884934159701643
ottawa,1.142604943114947,1.1194276279581727,1.134453781512605,1.1920700308959835,-2.028462706767981,-1.3245276096129126
pacificcentre,1.1636363636363636,1.0760456273764258,,,-7.527328897338396,
polopark,1.1587301587301586,1.1779053084648494,,,1.654841689432211,
Quebec,1.1189921909532932,1.187112372542836,1.1368925762310096,1.1046032639279686,6.087636905804497,4.41728597422226
REGIONAL_ON,1.141213389121339,1.1707616707616708,1.1808088818398097,1.1054313099041535,2.5891986478604303,-0.8508752968121661
REGIONAL_QC,1.1244122625540718,1.1796941896024464,1.1148904006046862,,4.916517623420725,5.812570362307576
rivieres,1.1166244114451287,1.125506072874494,1.1017220664797758,,0.7954027637521114,2.1588027614544294
scarborough,1.1418462528144098,1.140241527074406,1.1445384332475175,,-0.1405378119907641,-0.3754269885825977
sherbrooke,1.1191284663271082,1.2231190544825599,,,9.292104640742512,
sherway,1.1425072366956135,1.1524523586379256,1.1536379018612521,,0.8704646782873532,-0.10276562701466141
squareone,1.1338815789473684,1.121763085399449,,,-1.0687618330628075,
stbruno,1.113836017569546,1.192217166169779,1.1867426942266572,,7.037045612087931,0.4613023505224988
stefoy,1.135582431572247,1.1568239615710654,,,1.8705405621156697,
uppercanada,1.1428092524304392,1.1665372670807452,1.1863945578231292,,2.0762882869423027,-1.6737509972078257
vaughan,1.1395348837209303,1.1378947368421053,,,-0.1439312567132055,
West,1.1516381559872426,1.1919063374904555,,,3.4966001511727414,
westedmonton,1.1684460260972716,1.213903743315508,,,3.8904421944135317,
